association_id,locality_id
1,1
2,2
2,3
2,4
3,4
4,5
4,6
4,7
5,8
6,3
6,4
6,7
7,9
7,10
7,11
7,12
7,13
8,9
8,10
9,5
10,3
10,10
10,11
10,6
10,13
10,8
10,9
11,12
12,7
12,12
13,8
13,2
13,11
13,10
14,13
15,4
16,9
17,14
17,1
